,0,1,階,賃料/管理費,敷金/礼金,間取り/専有面積,6,お気に入り,8,NewArrival,RoomDetailLink,マンション名,住所,最寄り駅,築年数,建物高さ,SearchURL
10,"
 
","




","
											3階","

5.8万円
-

","

5.8万円
-

","

1K
17.05m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000089866047/?bc=100375670634,西武新宿線 下井草駅 3階建 築45年,東京都中野区白鷺３,西武新宿線/下井草駅 歩6分 --- ＪＲ中央線/阿佐ケ谷駅 バス11分 (バス停)下井草郵便局（バス） 歩6分 --- 西武新宿線/鷺ノ宮駅 歩14分,築45年,3階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
11,"
 
","




","
											-","

30万円
-

","

30万円
-

","

5LDK
110.98m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",New,https://suumo.jp/chintai/jnc_000089482177/?bc=100381960239,白鷺戸建,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩12分 --- 西武新宿線/下井草駅 歩15分 --- ＪＲ中央線/阿佐ケ谷駅 バス9分 (バス停)白鷺二丁目 歩3分,築32年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
12,"
 
","




","
											-","

30万円
-

","

30万円
-

","

5LDK
110.98m2

","

動画

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",New,https://suumo.jp/chintai/jnc_000090685869/?bc=100381613849,西武新宿線 鷺ノ宮駅 2階建 築32年,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩11分 --- ＪＲ中央線/阿佐ケ谷駅 歩23分 --- 西武新宿線/下井草駅 歩15分,築32年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
13,"
 
","




","
											1-2階","

30万円
-

","

30万円
-

","

5LDK
110.98m2

","

パノラマ

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000090685869/?bc=100381613849,西武新宿線 鷺ノ宮駅 2階建 築32年,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩11分 --- ＪＲ中央線/阿佐ケ谷駅 歩23分 --- 西武新宿線/下井草駅 歩15分,築32年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
14,"
 
","




","
											1階","

5.4万円
1000円

","

5.4万円
-

","

1K
20.25m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000022681367/?bc=100373270643,アドレム白鷺,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩8分 --- ＪＲ中央線/阿佐ケ谷駅 歩22分 --- 西武新宿線/都立家政駅 歩18分,築39年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
15,"
 
","




","
											1階","

4.9万円
-

","

-
-

","

ワンルーム
16.62m2

","

パノラマ

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",New,https://suumo.jp/chintai/jnc_000090648042/?bc=100381366160,西武新宿線 鷺ノ宮駅 2階建 築38年,東京都中野区白鷺３,西武新宿線/鷺ノ宮駅 歩6分 --- 西武新宿線/下井草駅 歩14分 --- ,築38年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
16,"
 
","




","
											1階","

5万円
-

","

5万円
5万円

","

1K
17.61m2

","

パノラマ

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000066944459/?bc=100351749283,鷺宮ギミック,東京都中野区白鷺３,西武新宿線/鷺ノ宮駅 歩7分 --- 西武新宿線/都立家政駅 歩14分 --- ＪＲ中央線/阿佐ケ谷駅 歩27分,築39年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
17,"
 
","




","
											2階","

9.5万円
-

","

9.5万円
-

","

2DK
40.92m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000084530777/?bc=100332524759,サンライフ悠　Ａ棟,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩8分 --- 西武新宿線/下井草駅 歩14分 --- ＪＲ総武線/阿佐ケ谷駅 歩22分,築37年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
18,"
 
","




","
											2階","

10万円
-

","

10万円
-

","

2DK
40.92m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000084530777/?bc=100332524759,サンライフ悠　Ａ棟,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩8分 --- 西武新宿線/下井草駅 歩14分 --- ＪＲ総武線/阿佐ケ谷駅 歩22分,築37年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
19,"
 
","




","
											2階","

4.8万円
2000円

","

4.8万円
4.8万円

","

1K
18m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000090224623/?bc=100378074275,モンシェル白鷺,東京都中野区白鷺３,西武新宿線/下井草駅 歩8分 --- 西武新宿線/鷺ノ宮駅 歩15分 --- 西武新宿線/井荻駅 歩19分,築38年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
